20010425:214500	0.00659583	0.00562112
20010426:095900	0.00428602	0.00396131
20010426:222400	0.0229371	0.0227751
20010427:110300	0.0227127	0.0225515
20010430:023000	0.0109281	0.0109281
20010430:154300	0.00430552	0.00430552
20010501:055400	0.00343326	0.00327428
20010501:213900	-0.000443285	-0.000284943
20010502:102500	0.00196309	0.00196309
20010503:004500	0.00180594	0.00180594
20010503:134700	-0.00104504	-0.00104504
20010504:041400	-0.0078825	-0.0078825
20010504:165100	-0.00313849	-0.00297995
20010507:083200	-0.00456868	-0.00441007
20010508:013200	0.000794521	0.000794521
20010508:135300	0.00766565	0.00782466
20010509:032000	0.00378183	0.00378183
20010509:153200	0.012851	0.012851
20010510:045600	0.0112306	0.0112306
20010510:173200	0.013143	0.013143
20010511:072200	0.00834929	0.00866312
20010513:221300	-0.00134591	-0.00134591
20010514:105000	-0.00631016	-0.00631016
20010515:004900	-0.00343861	-0.00375115
20010515:130700	6.25661e-05	-9.38492e-05
20010516:020000	0.00676286	0.00613665
20010516:141500	0.00939112	0.00954767
20010517:033800	0.00958987	0.00958987
20010517:154400	0.0077846	0.00762887
20010518:055000	0.00537062	0.00552588
20010518:175400	0.00994	0.00994
20010521:092100	0.00352004	0.00336562
20010521:215500	-0.00360701	-0.00376119
20010522:101200	-0.00160317	-0.00175723
20010522:230600	-0.0103573	-0.0102031
20010523:111500	-0.0319592	-0.0319592
20010523:232800	-0.0330512	-0.0330512
20010524:114600	-0.0352006	-0.0353577
20010525:004000	-0.0117994	-0.0117994
20010525:125600	-3.19507e-05	0.000287739
20010528:064900	0.0121802	0.0121802
20010529:044600	0.00947183	0.00947183
20010529:173700	-0.00573368	-0.00589387
20010530:063400	-0.000543486	-0.000383616
20010530:192500	-0.0149822	-0.0149822
20010531:081300	-0.0285119	-0.0281916
20010531:221100	-0.0242407	-0.0242407
20010601:101800	-0.0201373	-0.0203
20010604:024700	-0.0101456	-0.0101456
20010604:152700	-0.00299825	-0.00316303
20010605:054400	0.00112449	0.000959087
20010605:181800	0.0120761	0.0122415
20010606:065600	0.0238637	0.0238637
20010606:210100	0.0176526	0.0174886
20010607:090700	0.00649668	0.00617021
20010607:232500	0.0157749	0.0157749
20010608:115500	0.0194913	0.0196528
20010611:040100	0.0198542	0.0198542
20010611:170500	0.018483	0.018483
20010612:070100	0.00925599	0.00941507
20010612:204000	0.0101521	0.0101521
20010613:084900	0.0136645	0.0136645
20010613:224500	0.0110686	0.0113822
20010614:105500	0.000562594	0.000562594
20010615:004700	-0.00246689	-0.00246689
20010615:124900	-0.00520784	-0.00520784
20010618:042100	0.00767339	0.00751739
20010618:163300	0.00573548	0.00573548
20010619:062300	0.00280504	0.00311678
20010619:192500	-0.00460802	-0.00460802
20010620:074200	-0.0103664	-0.0103664
20010620:203400	-0.000342658	-0.000342658
20010621:084600	0.00801668	0.00676904
20010621:223400	6.23689e-05	0.000218321
20010622:104400	-0.000218393	-0.000218393
20010625:024800	0.00262002	0.002776
20010625:151300	-0.00566411	-0.00566411
20010626:054500	-0.00323947	-0.0030837
20010626:182900	0.00761523	0.00761523
20010627:064700	0.00891405	0.00891405
20010627:202200	0.00373252	0.00357696
20010628:083400	-0.00279723	-0.00310798
20010628:223300	-0.0191603	-0.019005
20010629:103500	-0.0195834	-0.0194277
20010702:030100	-0.005632	-0.005632
20010702:153800	-0.00351738	-0.00320332
20010703:055000	0.00286762	0.00318269
20010703:182300	0.0176126	0.0177703
20010704:072900	0.0168798	0.0168798
20010705:014600	0.00922303	0.00906679
20010705:135500	0.0112202	0.0110643
20010706:043100	0.00316501	0.00300983
20010706:175500	-0.0101766	-0.0103313
20010709:092800	-0.0166042	-0.0166042
20010709:235000	-0.00575248	-0.00559704
20010710:123300	-0.00168237	-0.00168237
20010711:014100	-0.000749536	-0.000905727
20010711:141300	-0.0172759	-0.016963
20010712:040300	-0.0138854	-0.0140425
20010712:161700	-0.0146721	-0.0149869
20010713:062200	-0.00711462	-0.0072727
20010715:225800	0.00933455	0.00901704
20010716:115000	0.0146241	0.0146241
20010717:012300	0.00925281	0.00893593
20010717:141300	0.000315939	0.000315939
20010718:044100	0.00431864	0.00431864
20010718:164700	0.000314324	0.000314324
20010719:061300	0.00260826	0.00260826
20010719:183300	-0.00345699	-0.00282844
20010720:111600	-0.0052529	-0.00541015
20010723:041300	-0.0144722	-0.0146296
20010723:185500	-0.00214659	-0.00198878
20010724:094200	-0.00553188	-0.00553188
20010725:010000	0.00234581	0.00234581
20010725:193100	-0.00564577	-0.00564577
20010726:113500	6.3548e-05	6.3548e-05
20010727:044300	-0.00120624	-0.00120624
20010729:233200	-0.00679926	-0.00679926
20010730:122200	0.00528091	0.00480367
20010731:050500	0.000636349	0.000636349
20010731:192300	0.0127186	0.0130366
20010801:091100	0.0117367	0.0118953
20010802:005000	0.0211635	0.0214799
20010802:142300	0.0114726	0.0114726
20010803:052200	0.00247403	0.00231753
20010806:010900	-0.00196611	-0.00196611
20010806:143900	-0.00230748	-0.00230748
20010807:075600	-0.0051108	-0.0051108
20010808:004900	-0.00509089	-0.00524703
20010808:140800	-0.00791784	-0.00807435
20010809:052800	0.00232041	0.00232041
20010809:204800	-0.0233003	-0.0233003
20010810:104800	-0.00640017	-0.00703068
20010813:052500	-0.00287647	-0.00271845
20010813:232700	0.00256542	0.00240703
20010814:133800	0.000316826	0.000475203
20010815:035500	0.00851141	0.00851141
20010815:170200	-0.00107562	-0.00139199
20010816:054100	0.0013915	0.0013915
20010816:192100	-0.00584615	-0.00600412
20010817:092500	0.00851104	0.00851104
20010820:021100	0.0193898	0.0193898
20010820:151300	0.0098832	0.00972591
20010821:064000	0.0075927	0.00727889
20010821:192400	-0.00337891	-0.00353532
20010822:083600	0.00415078	0.00430686
20010823:001700	0.00180675	0.00180675
20010823:132000	-0.0010288	-0.00118458
20010824:045700	-0.00062365	-0.00062365
20010824:193900	0.000561548	0.000561548
20010827:121900	-0.0131148	-0.0131148
20010828:083200	-0.0100619	-0.0102181
20010828:221900	-0.00316553	-0.00316553
20010829:115600	-0.00652899	-0.00652899
20010830:013200	-0.00166782	-0.0015105
20010830:145200	0.00479376	0.00495142
20010831:045500	0.000504032	0.000504032
20010831:183100	-0.00771413	-0.008029
20010903:102800	-0.0139423	-0.0141001
20010904:054300	-0.0129332	-0.0129332
20010904:221800	-0.0143392	-0.0143392
20010905:111800	-0.00411297	-0.00427243
20010906:041300	0.00563036	0.00579035
20010906:223200	0.00950616	0.00950616
20010907:125300	0.00354643	0.00338671
20010910:080700	-0.0187632	-0.0187632
20010911:001000	-0.00748223	-0.00748223
20010911:130800	-0.000960471	-0.000960471
20010912:052700	-0.00974703	-0.00974703
20010913:011200	-0.00573125	-0.00573125
20010913:162200	-0.0105647	-0.0105647
20010914:075400	-0.00976493	-0.00976493
20010917:015200	-0.025094	-0.0247698
20010917:175300	-0.0392592	-0.0392592
20010918:074300	-0.0370346	-0.0365399
20010918:235700	-0.0342482	-0.0340814
20010919:124800	-0.0244149	-0.0244149
20010920:045300	-0.0151799	-0.015521
20010920:200500	-0.0144454	-0.0144454
20010921:100100	-0.0249974	-0.024306
20010924:045900	-0.0133343	-0.0133343
20010924:211000	0.00947587	0.00947587
20010925:115600	0.0112988	0.0114738
20010926:023600	0.0117153	0.0117153
20010926:154300	0.00732985	0.00732985
20010927:062800	0.00166769	0.00201514
20010927:210100	0.0107341	0.0107341
20010928:092500	0.0173093	0.0173093
20011001:033800	0.0125297	0.0125297
20011001:212900	0.0213394	0.0213394
20011002:110200	0.0127855	0.0127855
20011003:013900	0.0144043	0.0144043
20011003:140400	0.013051	0.0127137
20011004:033600	0.00916968	0.00933759
20011004:163300	0.0047495	0.0047495
20011005:082800	0.0107839	0.0107839
20011008:022000	0.00961216	0.00961216
20011008:155300	0.00776094	0.00776094
20011009:090100	0.00612179	0.00628722
20011010:001200	-0.00683352	-0.0065034
20011010:141700	-0.00300323	-0.00300323
20011011:051100	-0.00934365	-0.00934365
20011011:185600	0.0060229	0.0060229
20011012:080800	0.00294497	0.00294497
20011014:233100	0.0257599	0.0257599
20011015:120900	0.0210329	0.0210329
20011016:032600	0.0129981	0.0129981
20011016:162300	0.0130166	0.0130166
20011017:070600	0.012113	0.012113
20011017:214900	-0.00560136	-0.00640613
20011018:104800	-0.0082458	-0.0082458
20011019:005300	-0.00887096	-0.00887096
20011019:154000	-0.00700973	-0.00684818
20011022:091900	0.000518163	0.000518163
20011022:235400	0.0125617	0.0123994
20011023:125000	0.0112087	0.0112087
20011024:032000	0.00293985	0.00293985
20011024:224000	0.00651232	0.00651232
