buy	20031209:031800	-0.00196259	79.33	sell	20031210:084900	0.00745609	79.99	損益	0.66	日数	2	-0.00196259
sell	20031210:224300	0.0075725	80.1	buy	20031211:140400	-0.000276168	79.64	損益	0.46	日数	1	0.0075725
sell	20031212:060900	0.00351406	79.96	buy	20031215:134700	-0.000100061	79.93	損益	0.03	日数	2	0.00351406
sell	20031216:045500	0.0030277	80.17	buy	20031216:184600	-0.000400242	79.91	損益	0.26	日数	1	0.0030277
buy	20031217:114700	-0.00450001	79.64	sell	20031219:091700	-0.00225736	79.56	損益	-0.08	日数	3	-0.00450001
buy	20031222:003500	-0.00610434	79.13	sell	20031223:223600	0.00156572	79.32	損益	0.19	日数	3	-0.00610434
sell	20031224:150600	0.00485118	79.54	buy	20031230:094900	0.00701015	79.87	損益	-0.33	日数	3	0.00485118
sell	20040102:002100	0.0147133	80.69	buy	20040105:144500	0.0119892	81.37	損益	-0.68	日数	3	0.0147133
sell	20040106:024900	0.00747472	81.41	buy	20040107:151000	0.000981422	81.59	損益	-0.18	日数	3	0.00747472
buy	20040108:031700	-0.0024525	81.35	sell	20040108:152100	0.00615593	82.05	損益	0.7	日数	1	-0.0024525
sell	20040109:032800	0.00766467	82.3	buy	20040112:174400	0.00817039	82.92	損益	-0.62	日数	3	0.00766467
sell	20040113:054900	0.00392412	82.89	buy	20040113:175200	-0.00186136	82.58	損益	0.31	日数	1	0.00392412
buy	20040114:055600	-0.0031164	82.53	sell	20040115:180800	-0.00973907	81.75	損益	-0.78	日数	3	-0.0031164
buy	20040116:061300	-0.00772535	81.69	sell	20040119:203000	-0.00835048	80.99	損益	-0.7	日数	3	-0.00772535
buy	20040120:083200	-0.00046681	81.36	sell	20040120:203400	0.0119282	82.29	損益	0.93	日数	1	-0.00046681
sell	20040121:083900	0.0161104	82.75	buy	20040122:204900	0.00157915	82.45	損益	0.3	日数	3	0.0161104
buy	20040123:085400	7.2704e-05	82.55	sell	20040126:230500	-0.00859351	81.68	損益	-0.87	日数	3	7.2704e-05
buy	20040127:111200	-0.00411151	81.87	sell	20040127:231700	0.00250962	82.29	損益	0.42	日数	1	-0.00411151
sell	20040128:112000	0.000902031	82.11	buy	20040128:232500	-0.00363429	81.7	損益	0.41	日数	1	0.000902031
buy	20040129:112900	-0.00141595	81.81	sell	20040202:013900	-0.00789943	80.63	損益	-1.18	日数	3	-0.00141595
buy	20040202:134800	-0.00899009	80.25	sell	20040203:140200	0.00522449	80.81	損益	0.56	日数	2	-0.00899009
buy	20040204:020600	-0.00129316	80.32	sell	20040205:141800	0.00462529	80.8	損益	0.48	日数	3	-0.00129316
sell	20040206:022000	0.00285612	80.76	buy	20040209:163000	0.0120913	82.03	損益	-1.27	日数	3	0.00285612
sell	20040210:043600	0.0105925	82.24	buy	20040211:164800	0.00732737	82.76	損益	-0.52	日数	3	0.0105925
sell	20040212:045400	0.00697148	82.91	buy	20040213:170600	0.00304135	83.11	損益	-0.2	日数	3	0.00697148
sell	20040216:071300	0.00431059	83.41	buy	20040217:192700	0.00852614	84.22	損益	-0.81	日数	3	0.00431059
sell	20040218:073000	0.00805392	84.36	buy	20040219:194500	0.00629077	84.78	損益	-0.42	日数	3	0.00805392
sell	20040220:074900	0.00421829	84.75	buy	20040220:194900	-0.00385822	84.17	損益	0.58	日数	1	0.00421829
buy	20040223:095800	-0.00807566	83.77	sell	20040224:221000	0.00433354	84.36	損益	0.59	日数	3	-0.00807566
sell	20040225:102000	0.00645793	84.47	buy	20040226:223300	0.00299149	84.49	損益	-0.02	日数	3	0.00645793
